연번,해수욕장명,관리청,시도 주소,시군구 주소,읍면동 주소,이하 주소,개장일,폐장일,주요행사1,주요행사2,주요행사3,주요행사4,주요행사5,주요행사6,주요행사7,주요행사8,홈페이지,연락처
1,해운대,해운대구,부산광역시,해운대구,우1동,620-3,06-01,08-31,개장식(6.1),부산국제무용제(6.7~6.9),해비시 극장(6월~9월),달빛바다소극장(7.26~8.11),부산바다축제(8.1~8.5),코스프레페스티벌(8월),하와이안페스티벌(8.31~9.1),-,http://sunnfun.haeundae.go.kr,051-749-7612
2, 송정,해운대구,부산광역시,해운대구,송정동,-,06-01,08-31,개장식(6.1),송정 별바다 과학 축제(6.14~6.16),송정해변축제(8.3~8.4),-,-,-,-,-,http://sunnfun.haeundae.go.kr,051-749-7612
3,송도,서구,부산광역시,서구,암남동,-,06-01,08-31,송도 청소년 스포츠 대회(6.8),송도 페스티벌(7월 말~8월 초),송도 여름바다축제 및 현인가요제(8.2~8.4),-,-,-,-,-,http://www.bsseogu.go.kr/,051-240-4126
4,다대포,사하구,부산광역시,사하구,다대동,-,07-01,08-31,워터락콘서트(7.1~8.25),다대포해변가요제(7.27),7080가족사랑콘서트(8월),제16회 청소년 바다축제(8.4),-,-,-,-,http://www.saha.go.kr/tour/contents.do?mId=0101030000,051-220-4161
5,광안리,수영구,부산광역시,수영구,광안2동,-,07-01,08-31,광대연극제(8월 중순),SUP WEEK(8.26~9.1),해양스포츠 운영(7~8월),부산물총축제(8월중순),We Love 광안리음악회(7.26),달빛수영&아랏길 축제(8월말),어린이 조개잡이체험(7월말),수영구 어린이 워터파크운영(6월말~8.31(월요일미운영)),http://www.suyeong.go.kr/gwangalli/main.asp,051-610-4744
6,일광,기장군,부산광역시,기장군,일광면,-,07-01,08-31,제17회 일광낭만가요제 (7.31~8.1),제23회 기장갯마을축제 (8.2~8.4),-,-,-,-,-,-,http://www.gijang.go.kr/tour/board/view.gijang?boardId=BBS_0000018&menuCd=DOM_000000201001000000&startPage=1&categoryCode1=B001&categoryCode2=B001002&dataSid=72,051-709-4421
7,임랑,기장군,부산광역시,기장군,장안읍,-,07-01,08-31,기장임랑썸머뮤직페스티벌 (8월중),-,-,-,-,-,-,-,http://www.gijang.go.kr/tour/board/view.gijang?boardId=BBS_0000018&menuCd=DOM_000000201001000000&startPage=1&categoryCode1=B001&categoryCode2=B001002&dataSid=77,051-709-4421
8,을왕리,중구,인천광역시,중구,을왕동,-,07-01,08-31,버스킹(7월),-,-,-,-,-,-,-,-,032-760-8958
9,왕산,중구,인천광역시,중구,무의동,-,07-01,08-31,-,-,-,-,-,-,-,-,-,032-760-8958
10,하나개,중구,인천광역시,중구,무의동,-,07-01,08-31,-,-,-,-,-,-,-,-,-,032-760-8958
11,옹암,옹진군,인천광역시,옹진군,북도면,장봉리,미정(작년기준 7.15),미정(작년기준 8.26),-,-,-,-,-,-,-,-,-,032-233-2255
12,수기,옹진군,인천광역시,옹진군,북도면,시도리,미정(작년기준 7.15),미정(작년기준 8.26),-,-,-,-,-,-,-,-,-,032-233-2255
13,서포리,옹진군,인천광역시,옹진군,덕적면,-,미정(작년기준 7.15),미정(작년기준 8.26),-,-,-,-,-,-,-,-,-,032-233-2255
14,때뿌루,옹진군,인천광역시,옹진군,덕적면,소야리,미정(작년기준 7.15),미정(작년기준 8.26),-,-,-,-,-,-,-,-,-,032-233-2255
15,장 골,옹진군,인천광역시,옹진군,자월면,자월리,미정(작년기준 7.15),미정(작년기준 8.26),-,-,-,-,-,-,-,-,-,032-233-2255
16,이일레,옹진군,인천광역시,옹진군,자월면,승봉리,미정(작년기준 7.15),미정(작년기준 8.26),-,-,-,-,-,-,-,-,-,032-233-2255
17,십리포,옹진군,인천광역시,옹진군,영흥면,내리 734,미정(작년기준 6.23),미정(작년기준 8.26),-,-,-,-,-,-,-,-,-,032-233-2255
18,장경리,옹진군,인천광역시,옹진군,영흥면,내리,미정(작년기준 6.23),미정(작년기준 8.26),-,-,-,-,-,-,-,-,-,032-233-2255
19,일산,동구,울산광역시,동구,일산동,-,07-01,08-26,조선해양축제(7.19~7.21),일산상설무대(7.26~8.10),상설체험이벤트(7~8월중),-,-,-,-,-,http://www.donggu.ulsan.kr/tour,052-209-3363
20,진하,울주군,울산광역시,울주군,서생면,진하리,07-01,08-31,2019년 진하해수욕장 개장식(7.5),울산서머페스티벌(7월),2019 진하해변축제(8월),-,-,-,-,-,http://tour.ulju.ulsan.kr,052-204-0333
21,경포,강릉시,강원도,강릉시,안현동,-,07-05,08-18,국제청소년 예술축전(7.25~7.28),경포썸머페스티(7.29~8.4),공군 블랙이글 에어쇼(8.3),-,-,-,-,-,http://www.gn.go.kr/tour ,033-640-5426
22,주문진,강릉시,강원도,강릉시,주문진읍,향호리,07-05,08-18,"주문진해변축제(7.27~7.28.,예정)",-,-,-,-,-,-,-,http://www.gn.go.kr/tour ,033-640-5426
23,옥계,강릉시,강원도,강릉시,옥계면,금진리 산105-10,07-05,08-18,-,-,-,-,-,-,-,-,http://www.gn.go.kr/tour ,033-640-5426
24,정동진,강릉시,강원도,강릉시,강동면,정동진리,07-05,08-18,-,-,-,-,-,-,-,-,http://www.gn.go.kr/tour ,033-640-5426
25,사근진,강릉시,강원도,강릉시,안현동,해안로604번길 16,07-05,08-18,-,-,-,-,-,-,-,-,http://www.gn.go.kr/tour ,033-640-5426
26,강문,강릉시,강원도,강릉시,강문동,-,07-05,08-18,-,-,-,-,-,-,-,-,http://www.gn.go.kr/tour ,033-640-5426
27,송정,강릉시,강원도,강릉시,송정동,-,07-05,08-18,-,-,-,-,-,-,-,-,http://www.gn.go.kr/tour ,033-640-5426
28,안목,강릉시,강원도,강릉시,견소동,창해로14번길 20-1,07-05,08-18,-,-,-,-,-,-,-,-,http://www.gn.go.kr/tour ,033-640-5426
29,사천진,강릉시,강원도,강릉시,사천면,사천진리,07-05,08-18,-,-,-,-,-,-,-,-,http://www.gn.go.kr/tour ,033-640-5426
30,연곡,강릉시,강원도,강릉시,연곡면,동덕리 142-1,07-05,08-18,-,-,-,-,-,-,-,-,http://www.gn.go.kr/tour ,033-640-5426
31,영진,강릉시,강원도,강릉시,연곡면,-,07-05,08-18,-,-,-,-,-,-,-,-,http://www.gn.go.kr/tour ,033-640-5426
32,하평,강릉시,강원도,강릉시,사천면,사천진리,07-05,08-18,-,-,-,-,-,-,-,-,http://www.gn.go.kr/tour ,033-640-5426
33,사천,강릉시,강원도,강릉시,사천면,-,07-05,08-18,-,-,-,-,-,-,-,-,http://www.gn.go.kr/tour ,033-640-5426
34,순긋,강릉시,강원도,강릉시,안현동,-,07-05,08-18,-,-,-,-,-,-,-,-,http://www.gn.go.kr/tour ,033-640-5426
35,남항진,강릉시,강원도,강릉시,남항진동,-,07-05,08-18,남항진해변축제(8월 예정),-,-,-,-,-,-,-,http://www.gn.go.kr/tour ,033-640-5426
36,염전,강릉시,강원도,강릉시,강동면,안인리,07-05,08-18,-,-,-,-,-,-,-,-,http://www.gn.go.kr/tour ,033-640-5426
37,안인,강릉시,강원도,강릉시,강동면,안인리,07-05,08-18,연꽃축제 (7.26~7.29),-,-,-,-,-,-,-,http://www.gn.go.kr/tour ,033-640-5426
38,등명,강릉시,강원도,강릉시,강동면,-,07-05,08-18,-,-,-,-,-,-,-,-,http://www.gn.go.kr/tour ,033-640-5426
39,금진,강릉시,강원도,강릉시,옥계면,금진리,07-05,08-18,-,-,-,-,-,-,-,-,http://www.gn.go.kr/tour ,033-640-5426
40,도직,강릉시,강원도,강릉시,옥계면,도직리,07-05,08-18,-,-,-,-,-,-,-,-,http://www.gn.go.kr/tour ,033-640-5426
41,망상,동해시,강원도,동해시,망상동,393-16,07-01,08-18,그린플러그드 동해 2019(7.20~7.21),망상해변 문화행사(8.2~8.4),스파르탄레이스코리아 동해대회(7.13),전국비치발리볼대회(7.17~7.28) ,전국대학복싱선수권대회(8.2~8.4),생활체육복싱 토너먼트(8.2~8.4),-,-,http://www.dh.go.kr,033-539-8773
42,망상리조트,동해시,강원도,동해시,망상동,-,07-01,08-18,-,-,-,-,-,-,-,-,http://www.dh.go.kr,033-539-8773
43,추암,동해시,강원도,동해시,북평동,-,07-01,08-18,-,-,-,-,-,-,-,-,http://www.dh.go.kr,033-539-8773
44,노봉,동해시,강원도,동해시,망상동,-,07-01,08-18,소규모 마을단위 해변축제 개최,-,-,-,-,-,-,-,http://www.dh.go.kr,033-539-8773
45,대진,동해시,강원도,동해시,대진동,204-7,07-01,08-18,소규모 마을단위 해변축제 개최,-,-,-,-,-,-,-,http://www.dh.go.kr,033-539-8773
46,어달,동해시,강원도,동해시,어달동,-,07-01,08-18,소규모 마을단위 해변축제 개최,-,-,-,-,-,-,-,http://www.dh.go.kr,033-539-8773
47,속초 ,속초시,강원도,속초시,조양동,-,07-05,08-18,속초 비치 페스티벌/속초수제맥주축제(8.1~8.5),-,-,-,-,-,-,-,http://www.sokchotour.com,033-639-2027
48,외옹치,속초시,강원도,속초시,대포동,-,07-05,08-18,-,-,-,-,-,-,-,-,http://www.sokchotour.com,033-639-2027
49,등대,속초시,강원도,속초시,영랑동,-,07-05,08-18,-,-,-,-,-,-,-,-,http://www.sokchotour.com,033-639-2027
50,삼척,삼척시,강원도,삼척시,교동,-,07-12,08-18,2019 삼척비치썸 페스티벌 (7.26 ~7.28),-,-,-,-,-,-,-,http://www.samcheok.go.kr,033-570-3843
51,맹방,삼척시,강원도,삼척시,근덕면,-,07-12,08-18,2019 바캉스페스티벌(비치런) (8.2~8.4),-,-,-,-,-,-,-,http://www.samcheok.go.kr,033-570-3843
52,증산,삼척시,강원도,삼척시,증산동,-,07-12,08-18,-,-,-,-,-,-,-,-,http://www.samcheok.go.kr,033-570-3843
53,작은후진,삼척시,강원도,삼척시,교동,새천년도로 467,07-12,08-18,-,-,-,-,-,-,-,-,http://www.samcheok.go.kr,033-570-3843
54,한재밑,삼척시,강원도,삼척시,근덕면,삼척로 3840,07-12,08-18,-,-,-,-,-,-,-,-,http://www.samcheok.go.kr,033-570-3843
55,상맹방,삼척시,강원도,삼척시,근덕면,상맹방리  ,07-12,08-18,-,-,-,-,-,-,-,-,http://www.samcheok.go.kr,033-570-3843
56,하맹방,삼척시,강원도,삼척시,근덕면,하맹방리,07-12,08-18,"2019 조개잡이 축제 (8월중, 1일간)",-,-,-,-,-,-,-,http://www.samcheok.go.kr,033-570-3843
57,덕산,삼척시,강원도,삼척시,근덕면,-,07-12,08-18,"해변 파도가요제 (8월중, 1일간)",-,-,-,-,-,-,-,http://www.samcheok.go.kr,033-570-3843
58,궁촌,삼척시,강원도,삼척시,근덕면,궁촌리,07-12,08-18,-,-,-,-,-,-,-,-,http://www.samcheok.go.kr,033-570-3843
59,원평,삼척시,강원도,삼척시,근덕면,매원리,07-12,08-18,2019 쌍용자동차 하계휴양소운영 패밀리썸머 페스티벌(8.5~8.8),-,-,-,-,-,-,-,http://www.samcheok.go.kr,033-570-3843
60,문암,삼척시,강원도,삼척시,근덕면,-,07-12,08-18,-,-,-,-,-,-,-,-,http://www.samcheok.go.kr,033-570-3843
61,용화,삼척시,강원도,삼척시,근덕면,-,07-12,08-18,-,-,-,-,-,-,-,-,http://www.samcheok.go.kr,033-570-3843
62,장호,삼척시,강원도,삼척시,근덕면,-,07-12,08-18,-,-,-,-,-,-,-,-,http://www.samcheok.go.kr,033-570-3843
63,임원,삼척시,강원도,삼척시,원덕읍,임원리,07-12,08-18,-,-,-,-,-,-,-,-,http://www.samcheok.go.kr,033-570-3843
64,오분,삼척시,강원도,삼척시,오분동,-,07-12,08-18,-,-,-,-,-,-,-,-,http://www.samcheok.go.kr,033-570-3843
65,부남,삼척시,강원도,삼척시,근덕면,부남리,07-12,08-18,-,-,-,-,-,-,-,-,http://www.samcheok.go.kr,033-570-3843
66,송지호,고성군,강원도,고성군,죽왕면,-,07-12,08-18,오징어맨손잡기행사(8.3~8.4),-,-,-,-,-,-,-,https://www.gwgs.go.kr,033-680-3356
67,송지호오토캠핑장,고성군,강원도,고성군,죽왕면,동해대로 6090,07-12,08-18,-,-,-,-,-,-,-,-,https://www.gwgs.go.kr,033-680-3356
68,봉수대,고성군,강원도,고성군,죽왕면,-,07-12,08-18,-,-,-,-,-,-,-,-,https://www.gwgs.go.kr,033-680-3356
69,화진포,고성군,강원도,고성군,현내면,초도리 99,07-12,08-18,바다낚시 등 체험행사(8.3~8.10),"노래자랑,보물찾기행사(7.27~8.5)",-,-,-,-,-,-,https://www.gwgs.go.kr,033-680-3356
70,삼포,고성군,강원도,고성군,죽왕면,삼포리 1-1,07-12,08-18,미드나잇서핑&뮤직축제(7.12~7.14),-,-,-,-,-,-,-,https://www.gwgs.go.kr,033-680-3356
71,백도,고성군,강원도,고성군,죽왕면,문암진리,07-12,08-18,"가리비, 보물찾기행사(8.1)",-,-,-,-,-,-,-,https://www.gwgs.go.kr,033-680-3356
72,명파,고성군,강원도,고성군,현내면,-,07-12,08-18,-,-,-,-,-,-,-,-,https://www.gwgs.go.kr,033-680-3356
73,마차진,고성군,강원도,고성군,현내면,마차진리,07-12,08-18,-,-,-,-,-,-,-,-,https://www.gwgs.go.kr,033-680-3356
74,대진1리,고성군,강원도,고성군,현내면,배봉리,07-12,08-18,-,-,-,-,-,-,-,-,https://www.gwgs.go.kr,033-680-3356
75,대진5리,고성군,강원도,고성군,현내면,대진리,07-12,08-18,-,-,-,-,-,-,-,-,https://www.gwgs.go.kr,033-680-3356
76,초도,고성군,강원도,고성군,현내면,초도리,07-12,08-18,-,-,-,-,-,-,-,-,https://www.gwgs.go.kr,033-680-3356
77,거진1리,고성군,강원도,고성군,거진읍,거탄진로,07-12,08-18,-,-,-,-,-,-,-,-,https://www.gwgs.go.kr,033-680-3356
78,거진11리,고성군,강원도,고성군,거진읍,거진항길,07-12,08-18,-,-,-,-,-,-,-,-,https://www.gwgs.go.kr,033-680-3356
79,반암,고성군,강원도,고성군,거진읍,반암리,07-12,08-18,-,-,-,-,-,-,-,-,https://www.gwgs.go.kr,033-680-3356
80,가진,고성군,강원도,고성군,죽왕면,-,07-12,08-18,-,-,-,-,-,-,-,-,https://www.gwgs.go.kr,033-680-3356
81,공현진1리,고성군,강원도,고성군,죽왕면,공현진리,07-12,08-18,-,-,-,-,-,-,-,-,https://www.gwgs.go.kr,033-680-3356
82,공형진2리,고성군,강원도,고성군,죽왕면,공현진리,07-12,08-18,-,-,-,-,-,-,-,-,https://www.gwgs.go.kr,033-680-3356
83,삼포2리,고성군,강원도,고성군,죽왕면,삼포리,07-12,08-18,-,-,-,-,-,-,-,-,https://www.gwgs.go.kr,033-680-3356
84,자작도,고성군,강원도,고성군,죽왕면,-,07-12,08-18,-,-,-,-,-,-,-,-,https://www.gwgs.go.kr,033-680-3356
85,문암2리,고성군,강원도,고성군,죽왕면,문암진리,07-12,08-18,-,-,-,-,-,-,-,-,https://www.gwgs.go.kr,033-680-3356
86,교암,고성군,강원도,고성군,토성면,교암리,07-12,08-18,-,-,-,-,-,-,-,-,https://www.gwgs.go.kr,033-680-3356
87,아야진,고성군,강원도,고성군,토성면,-,07-12,08-18,가리비맨손잡기행사(8.3~8.4),-,-,-,-,-,-,-,https://www.gwgs.go.kr,033-680-3356
88,청간,고성군,강원도,고성군,토성면,청간리,07-12,08-18,-,-,-,-,-,-,-,-,https://www.gwgs.go.kr,033-680-3356
89,천진,고성군,강원도,고성군,토성면,천진리,07-12,08-18,오징어맨손잡기행사(8.10),-,-,-,-,-,-,-,https://www.gwgs.go.kr,033-680-3356
90,봉포,고성군,강원도,고성군,토성면,-,07-12,08-18,"오징어,조개맨손잡기행사(8.4)",-,-,-,-,-,-,-,https://www.gwgs.go.kr,033-680-3356
91,캔싱턴리조트,고성군,강원도,고성군,토성면,봉포리 40-9,07-12,08-18,-,-,-,-,-,-,-,-,https://www.gwgs.go.kr,033-680-3356
92,화진포콘도,고성군,강원도,고성군,거진읍,화포리 596,07-12,08-18,-,-,-,-,-,-,-,-,https://www.gwgs.go.kr,033-680-3356
93,낙산,양양군,강원도,양양군,강현면,해맞이길 59,07-12,08-25,낙산비치 페스티벌,-,-,-,-,-,-,-,www.yangyang.go.kr,033-670-2787
94,물치,양양군,강원도,양양군,강현면,정암리,07-12,08-25,-,-,-,-,-,-,-,-,www.yangyang.go.kr,033-670-2787
95,정암,양양군,강원도,양양군,강현면,정암리,07-12,08-25,조개잡이 축제,-,-,-,-,-,-,-,www.yangyang.go.kr,033-670-2787
96,설악,양양군,강원도,양양군,강현면,-,07-12,08-25,-,-,-,-,-,-,-,-,www.yangyang.go.kr,033-670-2787
97,오산,양양군,강원도,양양군,손양면,-,07-12,08-25,-,-,-,-,-,-,-,-,www.yangyang.go.kr,033-670-2787
98,동호,양양군,강원도,양양군,손양면,-,07-12,08-25,-,-,-,-,-,-,-,-,www.yangyang.go.kr,033-670-2787
99,하조대,양양군,강원도,양양군,현북면 ,하광정리,07-12,08-25,하조대 비치 페스티벌 어부체험행사,SH수협은행 사랑海 썸머페스티벌,-,-,-,-,-,-,www.yangyang.go.kr,033-670-2787
100,중광정,양양군,강원도,양양군,현북면 ,중광정리 508,07-12,08-25,-,-,-,-,-,-,-,-,www.yangyang.go.kr,033-670-2787
101,38(기사문),양양군,강원도,양양군,현북면 ,기사문리,07-12,08-25,-,-,-,-,-,-,-,-,www.yangyang.go.kr,033-670-2787
102,잔교,양양군,강원도,양양군,현북면 ,잔교리,07-12,08-25,쟁기동38평화마을 여름축제,-,-,-,-,-,-,-,www.yangyang.go.kr,033-670-2787
103,북분,양양군,강원도,양양군,현남면,창리,07-12,08-25,북분리여름축제,-,-,-,-,-,-,-,www.yangyang.go.kr,033-670-2787
104,동산,양양군,강원도,양양군,현남면,동산리,07-12,08-25,-,-,-,-,-,-,-,-,www.yangyang.go.kr,033-670-2787
105,동산포,양양군,강원도,양양군,현남면,동산리,07-12,08-25,-,-,-,-,-,-,-,-,www.yangyang.go.kr,033-670-2787
106,죽도,양양군,강원도,양양군,현남면,-,07-12,08-25,죽도의 여인 여린모래톱축제,-,-,-,-,-,-,-,www.yangyang.go.kr,033-670-2787
107,인구,양양군,강원도,양양군,현남면,-,07-12,08-25,인구 어울림 축제,-,-,-,-,-,-,-,www.yangyang.go.kr,033-670-2787
108,광진,양양군,강원도,양양군,현남면,광진리,07-12,08-25,-,-,-,-,-,-,-,-,www.yangyang.go.kr,033-670-2787
109,갯마을,양양군,강원도,양양군,현남면,남애리,07-12,08-25,-,-,-,-,-,-,-,-,www.yangyang.go.kr,033-670-2787
110,남애3,양양군,강원도,양양군,현남면,남애리,07-12,08-25,-,-,-,-,-,-,-,-,www.yangyang.go.kr,033-670-2787
111,남애1,양양군,강원도,양양군,현남면,남애1리,07-12,08-25,-,-,-,-,-,-,-,-,www.yangyang.go.kr,033-670-2787
112,원포,양양군,강원도,양양군,현남면,원포리 산85-1,07-12,08-25,-,-,-,-,-,-,-,-,www.yangyang.go.kr,033-670-2787
113,지경,양양군,강원도,양양군,현남면,지경리,07-12,08-25,지경리 해변축제,-,-,-,-,-,-,-,www.yangyang.go.kr,033-670-2787
114,대천,보령시,충청남도,보령시,신흑동,1029-3,06-15,08-18,제22회 보령머드축제(7.19∼7.28),-,-,-,-,-,-,-,http://daecheonbeach.kr/,041-930-6812
115,무창포,보령시,충청남도,보령시,웅천읍,열린바다1길 10,07-13,08-18,제21회 신비의바닷길 축제(예정),-,-,-,-,-,-,-,http://www.moochangpo.com/,041-930-6831
116,왜목,당진시,충청남도,당진시,석문면,왜목길 26,07-06,08-18,왜목 워터파크 운영(7.6~8.18),"왜목 오션페스티벌 진행 (8월중, 미확정)",-,-,-,-,-,-,-,041-350-3592
117,난지,당진시,충청남도,당진시,석문면,난지도리,07-06,08-18,-,-,-,-,-,-,-,-,-,041-350-3592
118,춘장대,서천군,충청남도,서천군,서면,춘장대길 20,07-06,08-18,춘장대해수욕장여름문화예술축제(8.3~8.4),-,-,-,-,-,-,-,www.chunjangdae.or.kr/,041-950-4018
119,만리포,태안군,충청남도,태안군,소원면,모항리,06-01,08-18,개장식(6.1),-,-,-,-,-,-,-,http://taean.go.kr,041-670-2691
120,백사장,태안군,충청남도,태안군,안면읍,창기리,07-06,08-18,-,-,-,-,-,-,-,-,http://taean.go.kr,041-670-2691
121,삼봉,태안군,충청남도,태안군,안면읍,창기리,07-06,08-18,-,-,-,-,-,-,-,-,http://taean.go.kr,041-670-2691
122,기지포,태안군,충청남도,태안군,안면읍,해안관광로 745-19,07-06,08-18,-,-,-,-,-,-,-,-,http://taean.go.kr,041-670-2691
123,안면,태안군,충청남도,태안군,안면읍,-,07-06,08-18,-,-,-,-,-,-,-,-,http://taean.go.kr,041-670-2691
124,밧개,태안군,충청남도,태안군,안면읍,승언리,07-06,08-18,-,-,-,-,-,-,-,-,http://taean.go.kr,041-670-2691
125,방포,태안군,충청남도,태안군,안면읍,방포1길 29-1,07-06,08-18,-,-,-,-,-,-,-,-,http://taean.go.kr,041-670-2691
126,꽂지,태안군,충청남도,태안군,안면읍,승언리,07-06,08-18,-,-,-,-,-,-,-,-,http://taean.go.kr,041-670-2691
127,샛별,태안군,충청남도,태안군,안면읍,샛별길 184-2,07-06,08-18,-,-,-,-,-,-,-,-,http://taean.go.kr,041-670-2691
128,바람아래,태안군,충청남도,태안군,고남면,장곡리,07-06,08-18,-,-,-,-,-,-,-,-,http://taean.go.kr,041-670-2691
129,장삼포,태안군,충청남도,태안군,고남면,장곡리,07-06,08-18,-,-,-,-,-,-,-,-,http://taean.go.kr,041-670-2691
130,몽산포,태안군,충청남도,태안군,남면,몽산포길 65-27,07-06,08-18,-,-,-,-,-,-,-,-,http://taean.go.kr,041-670-2691
131,달산포,태안군,충청남도,태안군,남면,달산리,07-06,08-18,-,-,-,-,-,-,-,-,http://taean.go.kr,041-670-2691
132,청포대,태안군,충청남도,태안군,남면,청포대길 57-6,07-06,08-18,-,-,-,-,-,-,-,-,http://taean.go.kr,041-670-2691
133,마검포,태안군,충청남도,태안군,남면,신온리,07-06,08-18,-,-,-,-,-,-,-,-,http://taean.go.kr,041-670-2691
134,곰섬,태안군,충청남도,태안군,남면,신온리,07-06,08-18,-,-,-,-,-,-,-,-,http://taean.go.kr,041-670-2691
135,연포,태안군,충청남도,태안군,근흥면,도황리,07-06,08-18,-,-,-,-,-,-,-,-,http://taean.go.kr,041-670-2691
136,갈음이,태안군,충청남도,태안군,근흥면,갈음이길 38-30,07-06,08-18,-,-,-,-,-,-,-,-,http://taean.go.kr,041-670-2691
